"id","genus","species","scientificname"
1243,"Salix","","Salix"
2075,"Salix","discolor","Salix discolor"
2079,"Salix","eriocephala","Salix eriocephala"
2583,"Salix","viminalis","Salix viminalis"
2869,"Salix","dasyclados","Salix dasyclados"
2870,"Salix","interior × eriocephala","Salix interior × eriocephala"
2871,"Salix","miyabeana","Salix miyabeana"
2872,"Salix","eriocephala × interior","Salix eriocephala × interior"
2937,"Salix","sachalinensis","Salix sachalinensis"
35796,"Salix","glauca","Salix glauca"
36606,"Salix","planifolia","Salix planifolia"
36702,"Salix","purpurea","Salix purpurea"
50922,"Salix","","Salix dasyclados phylicifolia"
51120,"Salix","sachalinensis × miyabeana","Salix sachalinensis × miyabeana"
51193,"Salix","Salix clone","Salix clone"
