	SysConst	AvgTime	Oxygen	Chamber																																																																																																																																																																	
		4	21	6800-01A 2 cm?																																																																																																																																																																	
	Const	S	K	Geometry	CustomBLC																																																																																																																																																																
		1.317	0.5	0: Broadleaf	2																																																																																																																																																																
	LTConst	deltaTw	fT1	fT2	fTeb																																																																																																																																																																
		0	1	0	0																																																																																																																																																																
	LQConst	Leaf	Ambient	abs_ambient	abs_redLED	abs_greenLED	abs_blueLED	abs_whiteLED	abs_redFlr	abs_blueFlr	k_ambient	k_redLED	k_greenLED	k_blueLED	k_whiteLED	k_redFlr	k_blueFlr																																																																																																																																																				
		standard	Sun+Sky	0.49	0.84	0.7	0.87	0.75	0.84	0.87	0.39	0.18	0.23	0.26	0.21	0.19	0.25																																																																																																																																																				
	QConst	fQ_Amb_in	fQ_Amb_out	fQ_HeadLS	fQ_ConsoleLS	fQ_Flr																																																																																																																																																															
		0	0	0	0	1																																																																																																																																																															
	LeakConst	fan_a	fan_b	fan_c	fan_d	Fs_meas	Fs_true	leak_wt																																																																																																																																																													
		-6276	6.6	0.00001709	3.11	3.73068 75.2755 381.234 641.322 883.942 1101.54 1301.45 1480.46	0.182804 99.5566 402.96 600.969 800.894 1000.39 1200.14 1400.68	0																																																																																																																																																													
	Sys	Sys	Sys	Sys	Sys	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	GasEx	Leak	Leak	Leak	Leak	Leak	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	FLR	MPF	MPF	MPF	MPF	MPF	MPF	MPF	MPF	LeafQ	LeafQ	LeafQ	LeafQ	Meas	Meas	Meas	Meas	Meas	Meas	Meas	Meas	Meas	Meas	Meas	Meas	Meas	Meas	Meas	Meas	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrLS	FlrStats	FlrStats	FlrStats	FlrStats	FlrStats	Match	Match	Match	Match	Match	Match	Match	Match	Match	Stability	Stability	Stability	Stability	Stability	Stability	Stability	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Auxiliary	Status	Status	Status	Status	Status	Status	Status	Status	Status	Status	Status	Status	Status	Status	Status	Status	Status	Status	Status	Status
fname	obs	time	elapsed	date	hhmmss	TIME	E	A	Ca	Ci	Pci	Pca	gsw	gbw	gtw	gtc	Rabs	TleafEB	TleafCnd	SVPleaf	RHcham	VPcham	SVPcham	VPDleaf	LatHFlux	SenHFlux	NetTherm	EBSum	blfa_1	blfa_2	blfa_3	Leak	LeakPct	CorrFact	CorrFactPct	Fan	DarkAdaptedID	Fo	Fm	Fv	Fv/Fm	Adark	LightAdaptedID	Fs	Fm'	PhiPS2	PS2/1	Qabs_fs	Afs	ETR	Fv'/Fm'	PhiCO2	NPQ	DarkPulseID	Fo'	Fv'	qP	qN	qP_Fo	qN_Fo	ID	P1_dur	P2_dur	P3_dur	P1_Qmax	P1_Fmax	P2_dQdt	P3_?F	Qin	Qabs	alpha	convert	TIME	CO2_s	CO2_r	H2O_s	H2O_r	Flow	Pa	?Pcham	Tair	Tleaf	Tleaf2	Offset	Offset2	Fan_speed	Qamb_in	Qamb_out	Q	f_red	f_blue	f_farred	F	Q_modavg	F_dc	Pc	Tled	TDigital	TPreamp	TPwrSpy	TDrive	Q_red	Q_blue	Q_farred	TSPF	F_avg	dF/dt	dF_dc/dt	F_dc_avg	period	time	hhmmss	count	co2_adj	h2o_adj	co2_at	h2o_at	co2_cv	h2o_cv	CO2_s:MN	CO2_s:SLP	CO2_s:SD	CO2_s:OK	Stable	Total	State	ADC_CH1	ADC_CH2	ADC_CH3	ADC_CH4	ADC_CH5	ADC_CH6	ADC_CH7	ADC_CH8	DAC_1	DAC_2	DAC_3	DAC_4	GPIO	GPIO_dir	excit_5v	power_12v	power_5v	ch1_pullup	AuxPower	MatchValveR	MatchValveS	MatchCO2	MatchH2O	DIAG	Flow_s	Flow_r	Txchg	Tirga	Tchopper	Ts	Tr	CO2_%	Desiccant_%	Humidifier_%	Txchg_sp	CO2_r_sp	H2O_r_sp	SS_s	SS_r
		s	s			s	mol m?? s??	?mol m?? s??	?mol mol??	?mol mol??	Pa	Pa	mol m?? s??	mol m?? s??	mol m?? s??	mol m?? s??	W m??	?C	?C	kPa	%	kPa	kPa	kPa	W m??	W m??	W m??	W m??				?mol s??	%		%	?mol s??						?mol m?? s??						?mol m?? s??	?mol m?? s??	?mol m?? s??		?mol ?mol??										ms	ms	ms	?mol m?? s??		mol m?? s??		?mol m?? s??	?mol m?? s??		J/?mol	s	?mol mol??	?mol mol??	mmol mol??	mmol mol??	?mol s??	kPa	kPa	?C	?C	?C	?C	?C	rpm	?mol m?? s??	?mol m?? s??	?mol m?? s??					?mol m?? s??			?C	?C	?C	?C	?C	?mol m?? s??	?mol m?? s??	?mol m?? s??	s		min??	min??		s	secs			?mol/mol	mmol/mol	?mol/mol	mmol/mol	%	%	?mol mol??	?mol mol?? min??	?mol mol??					V	V	V	V	V	V	V	V	V	V	V	V							V	%	%	?mol/mol	mmol/mol		?mol s??	?mol s??	?C	?C	?C	?C	?C	%	%	%	?C	?mol mol??	mmol mol??	%	%
plant_1aq	1	1550937188	0	20190223 09:53:08	9:53:08	1550937188	0.000317764	-1.292469542	399.961	488.7745071	48.94052896	40.04771653	0.020799478	3.470625506	0.020730476	0.012962728	1.74E-06	24.99731056	25.0231	3.184059281	52.82805542	1.686573784	3.192572148	1.497485497	-14.01340772	8.382454629	0.511119411	-5.119831949	-0.041576656	0.046673439	3.48127084	0	0	1	0	53356.11111	-	0	0	0	#DIV/0!	0	-	0	0	#DIV/0!	0.5	0.000182664	-1.292469542	#DIV/0!	#DIV/0!	-7075.648774	#DIV/0!	-	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	0	0	0	0	0	0	0.00434958	0.000182664	0.041995884	0.009499069	1550937188	399.961	399.654	16.844	16.7617	499.935	100.064	0.0650539	25.0679	25.0231	999.9	0	0	10020	0	0.785947	0.00434958	0	0	0	146	0.00499951	13.9	0.1	37.937	42.375	40.437	42.25	41	0	0	0	1550937278	147.7076923	14.49572641	6.704273442	5.757692308	15	1550937205	9:53:24	2	0.66	0.163	400	17	0.38	0.16	400.0280476	-0.382285714	0.019860169	1	1	1	1-Jan	1.8782	1.88341	1.88127	1.87842	1.87818	1.88037	1.87931	1.8752	5	0	0	0	11111111	oooooooo	off	off	off	off	0	100	100	0.66	0.163	2	512.528	537.495	22.3367	26.6386	30.0003	26.5839	26.5343	20.3136	29.3522	38.6553	22.3121	399.698	16.6971	99.9406	100.151
plant_1aq	2	1550937383	194.5	20190223 09:56:22	9:56:22	1550937383	0.00077244	4.520803459	400.057	248.0315804	24.83402689	40.05548921	0.050562	3.466575317	0.050155844	0.031383622	16.49473698	25.07510307	24.8184	3.145414193	51.08530636	1.640268864	3.210842767	1.505145329	-34.06461625	64.53311993	3.937341068	50.90058173	-0.041515246	0.0466045	3.477204927	0	0	1	0	53263.33825	-	0	0	0	#DIV/0!	0	-	0	0	#DIV/0!	0.5	84.28040425	4.520803459	#DIV/0!	#DIV/0!	0.053640031	#DIV/0!	-	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	0	0	0	0	0	0	99.9938	84.28040425	0.8428563	0.195712599	1550937383	400.057	401.329	16.3823	16.1822	500.069	100.06	0.0644553	25.1637	24.8184	999.9	0	0	10005.6	0	6.31032	99.9938	0.899759	0.100241	0	216.614	4.99951	268.319	850.74	37.812	42.25	40.312	42.312	41.25	85.47	9.52	0	1550937472	218.1560769	-12.48218804	-16.47189743	270.4972692	15	1550937406	9:56:45	3	0.72	0.142	401	16	0.63	0.11	399.954619	0.554025974	0.028940787	0	0	1	0/1	1.8782	1.88342	1.88127	1.87842	1.87819	1.88035	1.8793	1.87523	5	0	0	0	11111111	oooooooo	off	off	off	off	0	100	100	0.72	0.142	2	512.984	535.255	24.8574	26.6823	30.0001	26.6386	26.5893	20.3752	31.5506	36.7929	24.8668	401.348	16.144	99.9544	100.148
