".id","id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
"fineroot2leaf",48038,664,997,1984,"1st year 0kg N ha–1",NA,NA,NA,106,1.15,NA,0.3,4,"fineroot2leaf",NA,-94.746,42.011,NA,NA,1.15,0.3
"fineroot2leaf",48039,664,997,1985,"1st year 65 kg N ha–1",NA,NA,NA,106,1.38,NA,0.3,4,"fineroot2leaf",NA,-94.746,42.011,NA,NA,1.38,0.3
"fineroot2leaf",48040,664,997,1986,"1st year 140 kg N ha–1",NA,NA,NA,106,1.54,NA,0.3,4,"fineroot2leaf",NA,-94.746,42.011,NA,NA,1.54,0.3
"fineroot2leaf",48041,664,997,1987,"1st year 220 kg N ha–1",NA,NA,NA,106,1.12,NA,0.3,4,"fineroot2leaf",NA,-94.746,42.011,NA,NA,1.12,0.3
"fineroot2leaf",48046,664,997,1984,"1st year 0kg N ha–1",NA,NA,NA,2684,1.15,NA,0.3,4,"fineroot2leaf",NA,-94.746,42.011,NA,NA,1.15,0.3
"fineroot2leaf",48047,664,997,1985,"1st year 65 kg N ha–1",NA,NA,NA,2684,0.97,NA,0.3,4,"fineroot2leaf",NA,-94.746,42.011,NA,NA,0.97,0.3
"fineroot2leaf",48048,664,997,1986,"1st year 140 kg N ha–1",NA,NA,NA,2684,0.81,NA,0.3,4,"fineroot2leaf",NA,-94.746,42.011,NA,NA,0.81,0.3
"fineroot2leaf",48049,664,997,1987,"1st year 220 kg N ha–1",NA,NA,NA,2684,0.55,NA,0.3,4,"fineroot2leaf",NA,-94.746,42.011,NA,NA,0.55,0.3
"fineroot2leaf",48054,664,997,1984,"1st year 0kg N ha–1",NA,NA,NA,106,2.24,NA,0.7,4,"fineroot2leaf",NA,-94.746,42.011,NA,NA,2.24,0.7
"fineroot2leaf",48055,664,997,1985,"1st year 65 kg N ha–1",NA,NA,NA,106,2.34,NA,0.7,4,"fineroot2leaf",NA,-94.746,42.011,NA,NA,2.34,0.7
